Date,Open,High,Low,Close,Volume
30-Jan-15,23.88,24.11,23.82,23.89,54712156
29-Jan-15,23.84,24.20,23.78,24.08,40436431
28-Jan-15,24.47,24.49,23.81,23.84,49653844
27-Jan-15,24.39,24.46,24.20,24.38,38398141
26-Jan-15,24.72,24.74,24.40,24.59,39174854
23-Jan-15,24.43,24.88,24.29,24.48,63738712
22-Jan-15,24.30,24.36,23.96,24.28,47129321
21-Jan-15,23.83,24.08,23.71,24.04,37620305
20-Jan-15,23.84,23.87,23.55,23.85,44562067
16-Jan-15,23.51,23.65,23.45,23.59,49793936
15-Jan-15,23.86,23.97,23.56,23.58,31480084
14-Jan-15,23.65,23.85,23.41,23.78,41850798
13-Jan-15,24.26,24.33,23.63,23.86,41172849
12-Jan-15,24.07,24.14,23.77,23.98,42871146
9-Jan-15,24.52,24.53,23.95,24.03,43132201
8-Jan-15,24.32,24.38,24.13,24.37,43224386
7-Jan-15,24.21,24.39,23.98,24.08,43642472
6-Jan-15,24.46,24.57,23.93,24.07,63759958
5-Jan-15,25.01,25.01,24.52,24.60,42033195
2-Jan-15,25.34,25.46,24.87,25.06,40920799
31-Dec-14,25.42,25.52,25.27,25.27,28206452
30-Dec-14,25.61,25.70,25.42,25.57,22184545
29-Dec-14,25.70,25.85,25.68,25.70,20858159
26-Dec-14,25.84,25.90,25.74,25.78,14978547
24-Dec-14,25.89,25.94,25.70,25.83,17865138
23-Dec-14,25.69,26.00,25.60,25.88,31399717
22-Dec-14,25.65,25.77,25.56,25.71,35238128
19-Dec-14,25.12,25.70,25.00,25.62,86713650
18-Dec-14,25.13,25.15,24.68,25.14,52044711
17-Dec-14,24.61,24.72,24.06,24.66,77589311
16-Dec-14,24.54,25.18,24.40,24.49,48387978
15-Dec-14,25.02,25.03,24.41,24.59,63574010
12-Dec-14,25.35,25.37,24.86,24.89,51044526
11-Dec-14,25.32,25.69,25.31,25.41,40900393
10-Dec-14,25.62,25.62,25.15,25.27,45310201
9-Dec-14,25.46,25.69,25.27,25.58,32532335
8-Dec-14,25.88,26.09,25.61,25.69,37627897
5-Dec-14,26.14,26.15,25.93,26.01,22389231
4-Dec-14,26.26,26.28,25.92,26.09,29816611
3-Dec-14,26.16,26.47,26.09,26.38,34360877
2-Dec-14,26.07,26.20,26.03,26.05,25232681
1-Dec-14,26.16,26.22,25.84,26.02,48967079
28-Nov-14,26.80,26.90,26.44,26.49,31185231
