Date,Open,High,Low,Close,Volume
30-Jan-15,519.00,543.10,518.18,537.55,6055445
29-Jan-15,512.90,515.19,503.48,513.23,3950857
28-Jan-15,525.00,525.69,512.35,512.43,1791077
27-Jan-15,531.40,532.78,520.86,521.19,1957440
26-Jan-15,541.50,541.50,532.07,536.72,1546563
23-Jan-15,538.03,545.41,535.75,541.95,2298290
22-Jan-15,523.00,538.84,521.91,537.30,2803401
21-Jan-15,510.84,521.85,509.59,520.39,2317789
20-Jan-15,512.77,515.61,509.37,509.94,2343612
16-Jan-15,503.15,510.85,503.09,510.46,2482858
15-Jan-15,508.89,509.75,502.01,504.01,2556682
14-Jan-15,500.42,508.26,498.16,505.93,2639959
13-Jan-15,502.57,508.60,497.26,501.80,3050295
12-Jan-15,499.24,500.28,490.91,497.06,2856938
9-Jan-15,508.18,508.60,498.65,500.72,2100024
8-Jan-15,501.51,507.50,495.02,506.91,3662224
7-Jan-15,510.95,511.49,503.65,505.15,2345875
6-Jan-15,520.50,521.21,505.55,506.64,2731813
5-Jan-15,527.15,527.99,517.75,519.46,2059119
2-Jan-15,532.60,535.80,527.88,529.55,1327870
31-Dec-14,537.74,538.40,530.20,530.66,1236445
30-Dec-14,534.96,537.84,533.61,535.28,1048631
29-Dec-14,540.50,543.93,537.16,537.31,2218632
26-Dec-14,536.93,543.25,535.49,541.52,1113464
24-Dec-14,538.82,540.29,535.10,536.93,737848
23-Dec-14,534.51,542.30,533.72,538.77,2877222
22-Dec-14,520.61,532.97,520.59,532.30,3319461
19-Dec-14,516.99,520.81,508.86,520.04,4872059
18-Dec-14,515.99,516.25,506.56,514.62,3876732
17-Dec-14,499.86,509.07,499.11,506.45,3639437
16-Dec-14,513.60,515.58,497.19,498.16,4349882
15-Dec-14,523.76,525.37,515.40,515.84,2621977
12-Dec-14,527.44,532.24,521.46,521.51,2371543
11-Dec-14,530.01,537.04,529.16,532.11,2073290
10-Dec-14,535.90,539.36,527.49,528.04,2316204
9-Dec-14,525.88,536.65,523.41,536.11,2168813
8-Dec-14,529.22,533.82,527.00,530.73,3231818
5-Dec-14,536.70,538.20,527.26,528.08,3070118
4-Dec-14,537.64,542.69,534.89,542.58,1633688
3-Dec-14,537.50,541.40,535.21,536.97,1623977
2-Dec-14,539.45,541.85,534.66,538.59,2073974
1-Dec-14,545.09,548.79,538.62,539.65,1994399
28-Nov-14,547.00,549.60,544.48,549.08,1210061
26-Nov-14,549.23,549.88,545.23,547.73,1480294
25-Nov-14,547.21,552.50,546.91,549.23,1903589
24-Nov-14,546.57,551.19,544.15,547.48,1653773
21-Nov-14,551.04,551.04,545.00,545.89,2505988
20-Nov-14,542.09,545.38,541.50,543.76,1750758
19-Nov-14,544.75,548.22,539.19,547.20,1517286
18-Nov-14,547.93,552.79,543.80,544.51,1822166
17-Nov-14,555.19,555.19,544.44,546.64,1680621
14-Nov-14,558.00,558.00,552.51,555.19,1425060
13-Nov-14,560.81,560.82,554.09,556.44,1510989
12-Nov-14,561.15,561.25,555.50,558.25,1094114
11-Nov-14,558.52,562.50,556.24,561.29,1100179
10-Nov-14,552.40,560.63,551.62,558.23,1304481
7-Nov-14,555.60,555.60,549.35,551.82,1589131
6-Nov-14,555.50,556.80,550.58,551.69,1650721
5-Nov-14,566.79,566.90,554.15,555.95,1645264
4-Nov-14,561.16,564.79,558.30,564.19,1386509
3-Nov-14,563.53,567.15,561.63,563.77,1544338
31-Oct-14,568.30,568.73,564.81,567.87,2341539
30-Oct-14,558.25,562.50,552.13,560.27,1612469
29-Oct-14,560.85,564.97,555.98,558.45,2053355
28-Oct-14,551.71,559.20,550.43,558.94,1739666
27-Oct-14,547.76,554.00,547.20,549.88,1598409
24-Oct-14,554.98,555.00,545.16,548.90,2175767
23-Oct-14,548.28,557.40,545.50,553.65,2153678
22-Oct-14,541.05,550.76,540.23,542.69,2974550
21-Oct-14,537.27,538.77,530.20,538.03,2460140
20-Oct-14,520.45,533.16,519.14,532.38,2749830
17-Oct-14,540.45,543.45,518.41,522.97,5998740
16-Oct-14,527.00,540.99,524.95,536.92,3805046
15-Oct-14,542.08,543.92,528.42,540.73,3836222
14-Oct-14,550.14,558.63,544.50,548.69,2610033
13-Oct-14,555.13,560.88,544.43,544.75,2756508
10-Oct-14,567.47,575.23,555.01,555.19,2979673
9-Oct-14,581.61,582.53,569.03,570.81,2413453
8-Oct-14,574.79,584.69,567.64,583.74,2210360
