Date,Open,High,Low,Close,Volume
30-Jan-15,174.13,175.69,172.32,172.41,3037367
29-Jan-15,173.18,176.30,173.07,175.99,2421445
28-Jan-15,177.73,177.97,172.97,173.05,3017283
27-Jan-15,177.24,178.64,176.30,176.49,3335640
26-Jan-15,178.72,180.99,178.06,180.42,2736529
23-Jan-15,181.43,182.98,180.42,180.49,3123779
22-Jan-15,178.81,182.59,177.25,182.04,6228247
21-Jan-15,174.55,178.39,172.82,177.15,3737031
20-Jan-15,177.57,178.33,174.23,175.63,3615587
16-Jan-15,176.73,180.10,174.06,177.23,5124104
15-Jan-15,180.18,181.60,177.50,178.49,3145989
14-Jan-15,181.18,182.51,178.10,180.23,5204732
13-Jan-15,186.58,189.38,183.37,184.93,2745342
12-Jan-15,187.36,187.53,184.11,185.07,2084188
9-Jan-15,190.48,191.31,186.96,187.35,1980679
8-Jan-15,189.35,190.82,189.25,190.27,1962464
7-Jan-15,186.85,187.99,185.77,187.28,1896784
6-Jan-15,188.30,188.66,183.93,184.53,3430666
5-Jan-15,193.06,194.04,187.48,188.34,3417017
2-Jan-15,195.30,195.73,192.70,194.41,1877748
31-Dec-14,196.65,196.83,193.77,193.83,1566780
30-Dec-14,195.50,196.50,194.58,195.71,1136152
29-Dec-14,195.57,196.96,194.82,196.19,1229873
26-Dec-14,196.09,196.49,195.40,195.45,1016252
24-Dec-14,196.61,196.75,195.01,195.89,697700
23-Dec-14,195.34,196.10,194.73,195.50,2346066
22-Dec-14,193.92,194.50,192.76,194.44,3056427
19-Dec-14,192.26,195.00,192.03,193.28,4798226
18-Dec-14,188.00,191.66,187.81,191.61,4209608
17-Dec-14,184.11,186.50,183.63,185.03,5074804
16-Dec-14,183.96,186.93,182.40,183.31,4181927
15-Dec-14,190.24,190.81,185.41,185.54,4729064
12-Dec-14,191.71,192.64,188.07,188.82,3838914
11-Dec-14,193.00,194.94,192.50,193.54,3179459
10-Dec-14,195.48,195.99,191.60,192.00,6506655
9-Dec-14,193.69,197.22,192.90,196.89,4568408
8-Dec-14,195.45,198.06,194.51,196.62,2714961
5-Dec-14,192.72,196.93,192.54,195.45,3625473
4-Dec-14,190.78,192.34,189.96,191.95,3162010
3-Dec-14,189.75,191.82,189.33,190.95,3049585
2-Dec-14,189.31,190.94,188.81,190.19,3116089
1-Dec-14,188.00,188.62,185.59,188.20,2468967
28-Nov-14,188.40,189.49,188.12,188.41,1195167
26-Nov-14,189.92,189.92,187.73,188.52,2024075
25-Nov-14,190.50,190.50,188.20,188.86,3677892
24-Nov-14,190.14,190.89,189.67,190.07,2028819
21-Nov-14,191.52,191.66,189.37,189.59,2367908
20-Nov-14,187.82,189.86,187.55,189.75,2849995
19-Nov-14,189.71,189.99,188.19,189.19,2260143
18-Nov-14,189.62,190.66,189.59,189.64,1812415
17-Nov-14,189.52,191.19,189.22,189.93,1593391
14-Nov-14,190.36,190.84,189.62,189.98,1691559
13-Nov-14,190.84,191.19,189.20,190.24,1749632
12-Nov-14,190.66,190.89,189.33,190.18,2322218
11-Nov-14,191.81,192.68,190.53,191.88,1629826
10-Nov-14,190.51,191.87,190.51,191.80,1553929
7-Nov-14,191.25,191.48,189.30,190.71,1981390
6-Nov-14,190.38,191.44,189.78,191.00,1915405
5-Nov-14,191.58,191.87,189.61,189.84,3141124
4-Nov-14,190.47,190.97,188.82,190.27,2027621
3-Nov-14,190.35,191.98,189.75,190.83,2305281
31-Oct-14,189.24,190.00,188.12,189.99,3357146
30-Oct-14,185.48,187.10,185.17,186.97,2794752
29-Oct-14,186.09,187.31,185.39,186.08,3378961
28-Oct-14,184.16,186.32,183.20,186.32,3036526
27-Oct-14,182.86,184.16,182.31,183.91,2388446
24-Oct-14,180.27,183.49,180.01,183.35,2900871
23-Oct-14,178.80,181.10,178.71,180.06,3397006
22-Oct-14,180.55,180.80,176.83,176.83,3088270
21-Oct-14,179.22,180.36,178.36,180.18,2652821
20-Oct-14,176.22,178.00,175.82,177.84,2307943
17-Oct-14,175.80,177.54,175.10,176.91,4950997
16-Oct-14,172.02,176.29,171.26,172.58,7798623
15-Oct-14,176.49,177.95,171.52,177.24,6330496
14-Oct-14,179.48,181.79,177.77,178.70,3557237
13-Oct-14,181.00,183.19,178.50,178.77,3436638
10-Oct-14,181.57,182.95,180.06,180.38,4405622
9-Oct-14,185.82,186.17,180.75,181.27,4893145
8-Oct-14,184.03,187.00,182.15,186.64,3164203
7-Oct-14,186.56,186.56,183.62,183.80,2927062
6-Oct-14,189.07,189.50,187.15,187.48,1938586
3-Oct-14,184.61,188.54,184.57,188.07,3271408
2-Oct-14,180.60,183.43,180.59,182.88,2789974
1-Oct-14,183.19,183.85,180.33,180.70,4196286
30-Sep-14,184.41,184.99,182.68,183.57,2037664
29-Sep-14,183.11,184.56,182.20,183.83,1747314
26-Sep-14,184.75,185.60,183.22,185.12,1932535
25-Sep-14,187.46,187.80,183.46,184.09,3080490
24-Sep-14,185.26,188.12,184.47,187.81,2834243
23-Sep-14,184.57,186.86,184.57,185.09,1977585
22-Sep-14,186.00,186.95,185.10,185.29,1834414
19-Sep-14,188.26,188.58,185.88,186.20,5442922
18-Sep-14,185.83,188.43,185.50,187.89,3572845
17-Sep-14,183.82,185.77,183.46,184.82,2828283
16-Sep-14,183.90,184.56,182.80,184.04,2142740
15-Sep-14,182.91,184.40,182.51,183.98,2307983
12-Sep-14,180.63,183.47,180.63,183.17,3364167
11-Sep-14,178.77,181.44,178.50,181.00,1907281
10-Sep-14,178.33,180.18,178.12,179.87,2459494
9-Sep-14,177.93,178.64,176.62,177.40,2603770
8-Sep-14,179.58,180.92,179.22,180.11,1746425
5-Sep-14,179.58,179.90,177.88,179.75,2562817
4-Sep-14,179.93,181.60,179.55,180.08,1678491
3-Sep-14,180.48,182.07,179.43,179.60,2397714
2-Sep-14,179.26,180.22,178.38,179.77,1986308
29-Aug-14,178.32,179.50,177.85,179.11,2567634
28-Aug-14,177.05,177.75,175.89,177.65,1961831
27-Aug-14,178.36,178.36,177.01,177.81,2075949
26-Aug-14,178.47,179.15,177.81,177.90,3119840
