Date,Open,High,Low,Close,Volume
30-Jan-15,153.91,155.24,153.04,153.31,6563570
29-Jan-15,151.38,155.58,149.52,155.48,8320847
28-Jan-15,154.00,154.53,151.55,151.55,4495933
27-Jan-15,154.94,155.09,152.59,153.67,5659568
26-Jan-15,158.26,159.46,155.77,156.36,7888143
23-Jan-15,155.03,157.60,154.89,155.87,4834847
22-Jan-15,151.94,155.72,151.76,155.39,6120113
21-Jan-15,153.03,154.50,151.07,152.09,11897123
20-Jan-15,156.70,157.33,154.03,156.95,8392773
16-Jan-15,153.82,157.63,153.82,157.14,5756041
15-Jan-15,156.69,156.97,154.16,154.57,4251723
14-Jan-15,154.86,156.49,153.74,155.80,4690294
13-Jan-15,157.26,159.97,155.68,156.81,4377510
12-Jan-15,159.00,159.25,155.76,156.44,4187638
9-Jan-15,158.42,160.34,157.25,159.11,4488347
8-Jan-15,156.24,159.04,155.55,158.42,4241113
7-Jan-15,157.20,157.20,154.03,155.05,4701839
6-Jan-15,159.67,159.96,155.17,156.07,6146712
5-Jan-15,161.27,161.27,159.19,159.51,4880389
2-Jan-15,161.31,163.31,161.00,162.06,5525466
31-Dec-14,160.41,161.50,160.38,160.44,4011909
30-Dec-14,160.02,160.82,159.79,160.05,2829904
29-Dec-14,162.00,162.34,159.45,160.51,3331833
26-Dec-14,162.27,163.09,162.01,162.34,1912310
24-Dec-14,162.88,162.99,161.61,161.82,1869977
23-Dec-14,162.23,162.90,161.61,162.24,4044220
22-Dec-14,158.33,161.91,158.33,161.44,4682509
19-Dec-14,157.49,160.41,157.49,158.51,8864850
18-Dec-14,153.58,157.68,153.30,157.68,7302356
17-Dec-14,151.52,153.31,151.11,151.93,5139465
16-Dec-14,152.03,154.89,150.50,151.41,6782593
15-Dec-14,155.93,156.74,152.84,153.06,6500311
12-Dec-14,160.25,160.50,155.33,155.38,8611748
11-Dec-14,160.82,162.93,160.52,161.07,3989571
10-Dec-14,163.01,163.33,160.03,160.51,4082384
9-Dec-14,160.84,163.02,160.80,162.99,3865905
8-Dec-14,163.29,163.29,161.54,161.86,2851383
5-Dec-14,163.61,164.50,162.91,163.27,3013500
4-Dec-14,164.01,164.50,163.01,164.05,3862916
3-Dec-14,162.47,164.52,162.00,164.52,6434994
2-Dec-14,162.47,162.73,161.64,162.67,3465747
1-Dec-14,161.64,163.32,161.35,161.54,4168384
28-Nov-14,162.75,163.37,161.44,162.17,2405512
26-Nov-14,161.93,162.10,161.01,161.95,3967223
25-Nov-14,162.65,163.50,161.56,161.76,4062378
24-Nov-14,161.54,163.86,161.06,162.15,6619032
21-Nov-14,161.83,161.95,160.75,160.92,4076875
20-Nov-14,160.95,161.50,159.80,160.64,4183102
19-Nov-14,162.05,162.10,160.96,161.43,3802631
18-Nov-14,164.73,164.75,161.89,161.89,5412495
17-Nov-14,164.16,164.97,163.72,164.16,4798933
14-Nov-14,162.10,164.49,161.69,164.16,4978415
13-Nov-14,162.00,162.80,161.80,162.79,3239726
12-Nov-14,162.28,163.00,161.76,161.92,3378229
11-Nov-14,163.70,163.90,162.60,163.30,3535694
