Date,Open,High,Low,Close,Volume
30-Jan-15,88.58,88.94,87.39,87.53,5035228
29-Jan-15,88.01,89.30,87.57,89.05,6237930
28-Jan-15,88.70,89.59,87.49,87.56,5981601
27-Jan-15,87.78,89.21,87.45,88.34,5497904
26-Jan-15,88.09,88.50,87.41,88.12,7049287
23-Jan-15,86.50,88.70,86.44,88.22,19053597
22-Jan-15,81.36,82.84,80.89,82.74,11956528
21-Jan-15,81.05,81.63,80.53,81.29,5422091
20-Jan-15,80.80,81.47,80.33,81.22,5369152
16-Jan-15,79.26,80.78,79.00,80.61,4507751
15-Jan-15,80.60,80.90,79.19,79.58,4063301
14-Jan-15,80.05,80.78,79.61,80.42,4647542
13-Jan-15,81.48,82.14,80.13,80.87,5520351
12-Jan-15,80.29,80.83,79.82,80.23,5010743
9-Jan-15,80.99,81.51,79.12,79.79,13778353
8-Jan-15,82.33,83.30,82.02,82.49,6585274
7-Jan-15,79.75,81.23,79.40,81.18,4866277
6-Jan-15,80.34,80.39,78.56,79.23,3832170
5-Jan-15,80.14,80.67,79.49,79.88,5811898
2-Jan-15,82.13,82.98,80.89,81.44,3453049
31-Dec-14,82.19,83.33,82.00,82.05,3814386
30-Dec-14,82.07,82.88,81.79,81.79,2626727
29-Dec-14,81.66,82.55,81.50,82.38,2398331
26-Dec-14,81.43,82.40,81.38,81.83,2275182
24-Dec-14,81.47,81.86,81.18,81.27,1301199
23-Dec-14,81.50,82.05,81.13,81.43,4073861
22-Dec-14,79.85,80.55,79.77,80.54,3791928
19-Dec-14,80.20,80.29,79.41,79.44,8722106
18-Dec-14,81.55,81.64,79.26,80.03,8791471
17-Dec-14,79.13,80.59,78.44,80.44,5080812
16-Dec-14,80.49,81.09,79.11,79.13,6990937
15-Dec-14,82.27,82.50,80.69,80.89,8143493
12-Dec-14,82.74,83.97,82.57,83.25,4582115
11-Dec-14,82.90,84.02,82.66,83.12,5029148
10-Dec-14,82.90,84.04,82.55,82.66,5048160
9-Dec-14,83.07,83.29,82.20,83.03,4362810
8-Dec-14,84.20,84.20,83.10,83.80,5885326
5-Dec-14,82.50,83.92,82.43,83.57,7394084
4-Dec-14,80.60,82.30,80.39,81.31,7035455
3-Dec-14,80.42,80.75,80.07,80.47,5600698
2-Dec-14,80.69,80.85,80.09,80.37,3828199
1-Dec-14,81.00,81.50,80.62,80.85,4313739
28-Nov-14,80.43,81.64,80.41,81.21,3383337
26-Nov-14,80.12,80.31,79.40,79.70,3098376
25-Nov-14,80.56,80.92,80.05,80.21,4059193
24-Nov-14,79.90,80.82,79.71,80.52,4713100
21-Nov-14,79.13,79.92,78.77,79.76,7013859
20-Nov-14,77.66,78.64,77.65,78.20,3143548
19-Nov-14,77.44,78.08,77.40,77.82,2615593
18-Nov-14,77.63,78.00,77.32,77.57,2877908
17-Nov-14,77.94,78.47,77.64,77.83,2949510
14-Nov-14,78.08,78.30,77.73,78.12,3019641
13-Nov-14,78.19,78.48,77.41,77.89,3421124
12-Nov-14,77.41,78.01,77.27,77.85,2656097
11-Nov-14,77.83,78.20,77.25,77.73,2600719
10-Nov-14,77.64,77.90,77.17,77.65,3277685
7-Nov-14,77.64,78.09,77.21,77.79,4124497
