Date,Open,High,Low,Close,Volume
30-Jan-15,260.40,263.62,254.91,254.91,5537876
29-Jan-15,247.53,248.80,245.17,248.00,3917110
28-Jan-15,252.53,253.01,246.30,246.36,2857715
27-Jan-15,253.79,253.79,248.58,250.99,2756937
26-Jan-15,256.94,257.29,253.80,256.53,2138126
23-Jan-15,258.52,260.65,258.18,258.29,1541651
22-Jan-15,255.45,259.00,253.37,257.60,2891486
21-Jan-15,256.16,259.63,254.50,257.28,2446001
20-Jan-15,256.22,259.69,254.26,256.84,3733426
16-Jan-15,251.90,255.10,251.50,254.95,2784286
15-Jan-15,256.71,257.47,252.36,253.13,2646176
14-Jan-15,256.64,258.60,254.12,255.56,3056323
13-Jan-15,262.02,265.81,259.11,260.78,2570988
12-Jan-15,261.04,262.00,259.14,260.02,1606379
9-Jan-15,263.61,264.47,259.77,260.53,2630876
8-Jan-15,263.20,265.12,262.63,264.45,2610914
7-Jan-15,258.44,261.14,257.45,260.95,2336710
6-Jan-15,259.79,260.78,254.86,257.50,2767623
5-Jan-15,263.49,263.50,258.87,259.17,3187800
2-Jan-15,263.38,266.75,262.49,265.02,2098520
31-Dec-14,265.48,267.25,262.18,262.20,1508124
30-Dec-14,265.10,265.38,263.08,264.55,1195355
29-Dec-14,266.48,267.70,265.05,265.43,1315611
26-Dec-14,267.63,269.32,266.62,266.62,1192214
24-Dec-14,265.49,268.85,265.38,267.63,1309397
23-Dec-14,265.01,266.42,264.06,265.26,1384813
22-Dec-14,262.42,264.31,262.03,264.21,1425832
19-Dec-14,263.36,264.58,261.38,261.67,3890887
18-Dec-14,261.84,264.45,261.14,264.16,2579518
17-Dec-14,254.12,259.56,253.70,259.08,2431708
16-Dec-14,252.92,258.45,252.35,253.41,3012585
15-Dec-14,258.17,258.85,253.09,256.70,3207793
12-Dec-14,260.53,264.45,256.78,256.78,3834640
11-Dec-14,262.95,265.58,262.51,263.12,3345939
10-Dec-14,263.78,264.84,261.00,261.72,2137913
9-Dec-14,259.50,264.73,259.50,264.14,2613500
8-Dec-14,263.50,265.63,262.52,263.10,3085575
5-Dec-14,261.64,263.49,261.00,263.35,1959464
4-Dec-14,262.08,262.25,260.05,261.14,1850886
3-Dec-14,259.64,261.88,258.69,261.60,2345554
2-Dec-14,259.17,260.25,258.22,260.01,2133829
1-Dec-14,256.27,260.65,256.27,258.15,2731387
28-Nov-14,258.58,259.50,257.90,258.19,1296677
26-Nov-14,257.48,258.95,255.60,257.26,1994674
25-Nov-14,255.36,258.00,254.82,257.26,3241575
24-Nov-14,255.00,255.25,253.60,254.62,2681204
21-Nov-14,255.14,256.56,252.82,254.22,2971705
20-Nov-14,247.53,251.89,247.51,251.67,1675965
19-Nov-14,250.23,250.83,247.19,249.86,1660727
18-Nov-14,249.79,251.73,249.07,249.73,1912195
17-Nov-14,248.58,251.43,248.16,249.80,2469223
14-Nov-14,251.14,251.16,248.73,248.84,2133163
13-Nov-14,252.40,252.40,249.59,250.92,3118307
12-Nov-14,248.85,252.16,248.34,251.95,2724341
11-Nov-14,249.18,249.88,248.16,249.73,2116944
10-Nov-14,251.98,252.40,248.53,250.21,3286349
7-Nov-14,250.12,252.43,249.04,252.43,2376945
6-Nov-14,249.51,250.90,247.54,250.09,3303007
5-Nov-14,244.16,252.34,244.00,249.53,5484941
4-Nov-14,239.65,243.01,239.10,242.97,4161127
3-Nov-14,240.98,243.20,239.00,241.54,3181629
31-Oct-14,237.29,242.50,237.29,241.43,6239076
30-Oct-14,228.53,239.28,228.02,236.65,12714446
29-Oct-14,216.31,218.40,213.75,214.66,4023813
28-Oct-14,214.61,216.86,214.06,216.71,2629322
27-Oct-14,213.06,214.73,212.21,213.41,1664727
24-Oct-14,213.63,214.15,211.86,213.48,2726077
23-Oct-14,213.87,215.90,212.68,214.28,2432423
22-Oct-14,213.29,213.95,210.77,210.92,2760538
21-Oct-14,209.78,213.38,207.90,213.31,3246485
20-Oct-14,205.53,208.20,205.14,207.85,1908744
17-Oct-14,204.84,206.57,203.57,206.00,3182890
16-Oct-14,197.09,203.21,195.19,203.00,3906360
15-Oct-14,200.86,201.97,196.95,200.25,4917018
14-Oct-14,204.41,205.90,202.44,202.72,3504558
13-Oct-14,204.50,207.75,203.72,204.28,3050989
10-Oct-14,207.89,209.57,204.98,204.98,2937612
9-Oct-14,212.21,212.21,207.58,207.71,2749492
8-Oct-14,208.03,212.54,207.70,212.36,3509803
7-Oct-14,210.81,211.09,207.85,208.05,2237557
6-Oct-14,212.59,213.15,211.66,211.79,2234474
3-Oct-14,211.03,212.30,210.18,211.99,2491626
2-Oct-14,209.00,210.00,207.80,209.72,2853084
1-Oct-14,212.85,213.81,209.75,210.01,2921815
30-Sep-14,211.17,214.02,211.02,213.37,2866187
29-Sep-14,210.21,211.46,209.12,210.93,2197241
26-Sep-14,211.45,212.22,210.56,211.94,1794826
25-Sep-14,214.04,214.27,210.42,210.71,2933067
24-Sep-14,212.78,215.00,212.25,214.41,2084926
23-Sep-14,213.90,213.90,212.46,212.46,1990891
22-Sep-14,216.98,216.98,213.75,213.88,2269942
19-Sep-14,217.69,218.15,215.49,216.25,5118888
18-Sep-14,215.93,216.68,215.14,216.44,2307133
17-Sep-14,217.00,217.49,213.70,215.53,3081903
16-Sep-14,214.91,217.78,213.65,217.30,2303031
15-Sep-14,213.85,215.61,213.85,214.64,1759775
12-Sep-14,214.88,215.75,212.75,214.04,2177744
11-Sep-14,216.70,216.75,214.45,214.95,2218460
10-Sep-14,214.07,218.65,214.04,216.88,3161719
9-Sep-14,215.29,215.47,214.00,214.28,1832205
8-Sep-14,214.01,216.22,213.50,215.77,2568804
5-Sep-14,214.36,214.37,213.10,214.21,2050741
4-Sep-14,215.44,216.12,214.00,214.26,2373138
3-Sep-14,215.07,216.16,214.31,214.90,1947222
2-Sep-14,213.41,214.97,212.71,214.73,2019354
