Date,Open,High,Low,Close,Volume
30-Jan-15,87.16,88.42,86.25,87.42,22679947
29-Jan-15,88.22,88.26,86.03,87.58,22682981
28-Jan-15,90.88,90.93,87.82,87.95,17829700
27-Jan-15,91.24,91.60,90.60,90.95,12301462
26-Jan-15,90.61,91.94,90.47,91.76,10672507
23-Jan-15,92.28,92.48,90.78,90.89,14706313
22-Jan-15,92.31,92.97,91.32,92.87,13558953
21-Jan-15,91.74,91.99,91.01,91.87,14276380
20-Jan-15,91.14,91.78,90.38,91.09,16760994
16-Jan-15,88.98,91.19,88.98,91.12,17713093
15-Jan-15,90.43,90.66,88.51,88.96,18759590
14-Jan-15,88.95,89.89,87.26,89.74,23272056
13-Jan-15,90.88,91.43,89.11,90.00,17469028
12-Jan-15,91.24,91.34,89.82,90.33,15176303
9-Jan-15,92.30,92.78,91.37,92.10,14488415
8-Jan-15,91.25,92.27,91.00,92.23,15487496
7-Jan-15,90.65,91.48,90.00,90.72,13590721
6-Jan-15,90.24,91.41,89.02,89.81,16670713
5-Jan-15,92.10,92.40,89.50,90.29,18502381
2-Jan-15,92.25,93.05,91.81,92.83,10220410
31-Dec-14,92.42,93.13,92.06,92.45,11337219
30-Dec-14,92.77,93.39,92.51,93.02,8743369
29-Dec-14,93.33,93.86,92.89,93.07,9892119
26-Dec-14,93.99,94.43,92.62,93.21,10584997
24-Dec-14,94.22,94.25,92.98,93.78,6875691
23-Dec-14,93.52,95.18,93.05,94.59,13706536
22-Dec-14,92.96,93.67,92.45,93.33,17871762
19-Dec-14,90.21,93.64,89.61,93.64,38468954
18-Dec-14,90.37,91.16,88.40,91.16,22882705
17-Dec-14,87.24,89.90,87.15,89.02,23323043
16-Dec-14,86.38,89.20,86.19,86.41,26372409
15-Dec-14,87.53,88.60,86.50,86.90,21373561
12-Dec-14,88.71,89.00,86.60,86.60,24568339
11-Dec-14,88.86,91.54,88.85,89.20,21522152
10-Dec-14,90.72,90.73,88.20,88.67,22279389
9-Dec-14,91.23,92.06,90.76,91.38,15883826
8-Dec-14,92.90,93.13,91.36,91.70,15735859
5-Dec-14,93.95,94.59,93.35,93.82,11831896
4-Dec-14,94.13,94.61,93.07,94.37,13115285
3-Dec-14,94.67,95.33,94.00,94.95,16220449
2-Dec-14,92.32,94.67,92.01,94.19,20885295
1-Dec-14,90.36,92.87,90.28,92.35,27584224
28-Nov-14,91.50,91.85,90.11,90.54,19556690
26-Nov-14,94.64,95.13,94.36,94.48,9822941
25-Nov-14,96.01,96.03,94.37,94.78,13747362
24-Nov-14,96.34,96.80,95.25,95.72,10172405
21-Nov-14,97.20,97.20,96.10,96.81,12374854
20-Nov-14,95.37,95.90,95.26,95.82,8422369
19-Nov-14,95.08,95.74,94.13,95.61,8333169
18-Nov-14,95.08,95.75,94.53,94.87,9272445
17-Nov-14,94.85,95.14,94.19,95.11,8704386
14-Nov-14,94.87,95.11,94.65,95.09,9352535
13-Nov-14,94.96,95.21,93.83,94.66,12355397
12-Nov-14,95.90,96.40,95.11,95.38,11592788
11-Nov-14,95.78,96.51,95.61,96.41,7990045
10-Nov-14,96.87,97.10,96.07,96.28,9087594
7-Nov-14,95.80,97.16,95.72,96.59,13233484
6-Nov-14,95.18,96.42,94.28,96.26,14731392
5-Nov-14,95.36,95.77,94.65,95.07,12480033
4-Nov-14,94.50,94.89,93.89,94.52,13498531
3-Nov-14,96.56,97.10,94.80,95.26,13410561
31-Oct-14,94.99,96.89,94.31,96.71,17493736
30-Oct-14,93.87,94.67,93.22,94.45,9767918
29-Oct-14,95.42,95.98,93.62,94.59,12410105
28-Oct-14,94.44,95.20,93.93,95.10,12570452
27-Oct-14,93.85,93.85,92.77,93.71,11394514
24-Oct-14,94.19,94.53,93.22,94.49,9740056
23-Oct-14,94.31,94.98,93.87,94.11,11352718
22-Oct-14,93.96,94.58,92.98,93.13,12742932
21-Oct-14,92.86,94.03,92.36,93.65,15757046
20-Oct-14,90.63,91.89,90.63,91.77,10826502
17-Oct-14,91.13,92.25,90.50,91.21,18194303
16-Oct-14,88.58,91.27,88.18,90.60,25215899
15-Oct-14,89.00,90.61,86.91,90.22,24704546
14-Oct-14,91.49,92.23,90.06,90.55,23121774
13-Oct-14,91.32,92.53,90.76,90.84,14451647
10-Oct-14,92.44,93.27,90.90,91.60,18173104
9-Oct-14,94.05,94.49,91.63,91.82,17917680
8-Oct-14,93.42,94.83,92.42,94.61,15592479
7-Oct-14,94.27,95.19,93.33,93.37,10787852
6-Oct-14,94.01,95.33,93.91,94.52,10599719
3-Oct-14,93.60,94.11,92.58,93.92,11572112
2-Oct-14,92.39,93.90,92.06,93.30,13756563
1-Oct-14,94.11,94.54,92.72,92.86,14028600
30-Sep-14,94.11,94.81,93.62,94.05,15579333
29-Sep-14,94.71,94.78,93.80,94.43,14023092
26-Sep-14,94.33,95.76,93.80,95.43,11256807
25-Sep-14,95.66,95.89,94.20,94.25,12854240
24-Sep-14,95.87,96.25,94.84,95.82,12200003
23-Sep-14,96.28,97.16,96.03,96.03,10300659
22-Sep-14,96.90,97.00,96.27,96.54,8824870
19-Sep-14,97.08,97.56,96.86,97.12,18178477
18-Sep-14,97.15,97.32,96.48,96.61,8636631
17-Sep-14,97.91,97.93,96.80,97.08,8777778
16-Sep-14,96.23,98.05,96.02,97.43,11582529
15-Sep-14,95.73,96.40,95.40,96.29,10694860
12-Sep-14,96.53,96.59,95.63,95.78,10270116
11-Sep-14,96.32,97.12,95.82,97.03,10181311
10-Sep-14,97.36,97.53,95.83,96.81,12113689
9-Sep-14,97.69,98.03,96.96,97.39,9762259
8-Sep-14,98.92,98.92,97.45,97.77,10080099
5-Sep-14,98.74,99.30,98.11,99.26,9486572
4-Sep-14,99.00,99.45,97.97,98.36,9662876
3-Sep-14,98.86,99.59,98.86,99.11,8481019
2-Sep-14,99.43,99.59,97.81,98.49,8966533
29-Aug-14,99.38,99.67,98.72,99.46,8873707
28-Aug-14,99.04,99.74,99.01,99.57,6072738
27-Aug-14,99.78,99.96,99.09,99.53,5849223
26-Aug-14,99.12,100.31,99.02,99.64,8536472
25-Aug-14,98.81,98.90,98.50,98.75,7570029
22-Aug-14,98.89,98.98,98.08,98.50,8096103
21-Aug-14,99.80,100.07,99.26,99.28,6826246
20-Aug-14,99.55,99.90,99.04,99.70,6753128
19-Aug-14,99.50,99.95,99.43,99.49,8888327
18-Aug-14,99.28,99.53,99.10,99.52,7143392
15-Aug-14,99.24,99.43,98.14,99.03,9234925
